no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
189.f,Fdisbl_no_incom, # of disabled people over 18 who could not earn income (including street begging),ចំនួនជនពិការអាយុ១៨ឆ្នាំឡើងមិនអាចធ្វើការរកចំណូលបាន (រួមទាំងជនពិការដើរសុំទាន),# of female disabled people who could not earn income (including street begging),People,នាក់,Disabled person,ក្មេងកំព្រា,
190,UD18_disbl,# of disabled people under 18 years old,ចំនួនកុមារពិការដែលមានអាយុក្រោម១៨ ឆ្នាំ,# of disabled people under 18 years old,People,នាក់,Disabled person,ក្មេងកំព្រា,
190.f,UD18_Fdisbl,# of disabled people under 18 years old,ចំនួនកុមារពិការដែលមានអាយុក្រោម១៨ ឆ្នាំ,# of female disabled people under 18 years old,People,នាក់,Disabled person,ក្មេងកំព្រា,
191,Fami_Affec_Storm,# of families affected by heavy storms,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារព្យុះ,# of families affected by heavy storms,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
191.a,Per_Affec_Storm,# of families affected by heavy storms,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារព្យុះ,# of persons affected by heavy storms,People,នាក់,Natural resource,ធនធានធម្មជាតិ,
192,Fami_Affec_Flood,# of families being affected by heavy floods,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារទឹកជំនន់,# of families affected by heavy floods,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
192.a,Per_Affec_Flood,# of families being affected by heavy floods,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារទឹកជំនន់,# of persons affected by heavy floods,People,នាក់,Natural resource,ធនធានធម្មជាតិ,
193,Fami_Affec_Drought,# of families affected by heavy droughts,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារគ្រោះរាំងស្ងួត,# of families affected by heavy droughts,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
193.a,Per_Affec_Drought,# of families affected by heavy droughts,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារគ្រោះរាំងស្ងួត,# of persons affected by heavy droughts,People,នាក់,Natural resource,ធនធានធម្មជាតិ,
194,Fami_Affec_Fire,# of families affected by severe fires,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារគ្រោះអគ្គីភ័យ,# of families affected by severe fires,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
194.a,Per_Affec_Fire,# of families affected by severe fires,ចំនួនគ្រួសារទទួលការប៉ះពាល់ធ្ងន់ធ្ងរដោយសារគ្រោះអគ្គីភ័យ,# of persons affected by severe fires,People,នាក់,Natural resource,ធនធានធម្មជាតិ,
195,Con_zon_fami,# of families living inside the protected or conservation areas,ចំនួនគ្រួសារដែលរស់នៅក្នុងបរិវេណតំបន់ការពារឬអភិរក្ស,# of families living in a protected area or conservation zone ,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
195.a,Per_Conser_Area,# of families living inside the protected or conservation areas,ចំនួនគ្រួសារដែលរស់នៅក្នុងបរិវេណតំបន់ការពារឬអភិរក្ស,# of people living in protected areas or conservation zones,People,នាក់,Natural resource,ធនធានធម្មជាតិ,
196,GARBAGE,# of families having service collecting waste from home,ចំនួនគ្រួសារមានសេវាសំរាមប្រមូលតាមផ្ទះ,# Houses which have access to garbage collection by a garbage collector?,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
197,Pollut_fami,# of families experiencing difficulty from environmental pollution,ចំនួនគ្រួសារដែលទទួលរងផលប៉ះពាល់ពីការបំពុលបរិស្ថាន,# of families who effected by environmental pollution,Families,គ្រូសារ,Natural resource,ធនធានធម្មជាតិ,
198,Murd_num,"# of murders, robbernes and kidnapping cases",ចំនួនករណីឃាតកម្ម ប្លន់ ចាប់ជំរិត,"# of murders, robberies and kidnapping cases ",Cases,លើក,Security,សន្តិសុខ,
199,Theft_num,# of theft cases,ចំនួនករណីលួច,# of theft cases,Cases,លើក,Security,សន្តិសុខ,
200,NUM_LANDC,# of land dispute cases,ចំនួនករណ៍ទំនាស់ដីធ្លី,# land conflict case in the past year,Cases,លើក,Security,សន្តិសុខ,
201,TOT_Conflict,Total conflict cases in the village,សរុបចំនួនករណីទំនាស់ផ្សេងៗដែលមានកើតឡើងនៅក្នុងភូមិ,# total conflict in the village,Cases,លើក,Security,សន្តិសុខ,
201.2,Crim_case,# of other criminal cases,ចំនួនករណីទំនាស់ផ្សេងៗ មានកំរឹតព្រហ្មទណ្ឌ,# of other criminal cases,Cases,លើក,Security,សន្តិសុខ,
201.1,Civil_case,# of other civil cases,ចំនួនករណីទំនាស់ផ្សេងៗ មានកំរឹតរដ្ឋប្បវេណី,# of other civil cases,Cases,លើក,Security,សន្តិសុខ,
202,HH_VIOLEN,# of families having domestic violence,ចំនួនគ្រួសារដែលជួបប្រទះអំពើហឹង្សាក្នុងគ្រួសារ,# families having problems with violence in home,Families,គ្រូសារ,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
203,Do_Vio_Author,# of domestic violence cases filed to the local authority,ចំនួនករណីអំពើហឹង្សាក្នុងគ្រួសារពាក់ពន្ធ័ដល់អាជ្ញាធរ,# of domestic violences filed with the local authority,Cases,ករណី,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
204,T_Vio_Injur_L18,# of domestic violence victims (injured),ចំនួនជនរងគ្រោះដោយអំពើ ហឹង្សាក្នុងគ្រួសារ,# total victims of domestic violence (injured) below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
204.f,Fe_Vio_Injur_L18,# of domestic violence victims (injured),ចំនួនជនរងគ្រោះដោយអំពើ ហឹង្សាក្នុងគ្រួសារ,# of female victims of domestic violence (injured) below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
204.1,T_Vio_Injur_OV18,# of domestic violence victims (injured),ចំនួនជនរងគ្រោះដោយអំពើ ហឹង្សាក្នុងគ្រួសារ,# total victims of domestic violence (injured) above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
204.1.f,Fe_Vio_Injur_OV18,# of domestic violence victims (injured),ចំនួនជនរងគ្រោះដោយអំពើ ហឹង្សាក្នុងគ្រួសារ,# of female victims of domestic violence (injured) above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
205,HH_Drug,# of families whose family members) using drugs,ចំនួនគ្រួសារដែលមានសមាជិកក្នុងគ្រួសារប្រើប្រាស់ គ្រឿងញៀន,# of families whose family member(s) using drugs ,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206,TOT_L18_T_Death,Total,សរុប,# of total death below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.a,TOT_L18_F_Death,Female,ស្រី,# of female death below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.b,TOT_U5_Death,Total,សរុប,# of total death below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.c,TOT_OV18_T_Death,Total,សរុប,# of total death above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.d,TOT_OV18_F_Death,Female,ស្រី,# of female death above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.1,T_Vio_Death_L18,# of deaths people due to domestic violence in current year,ស្លាប់ដោយអំពើហឹង្សាក្នុងគ្រួសារ,# total victims of domestic violence (death) below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.1.a,Fe_DoVio_Death_L18,# of deaths people due to domestic violence in current year,ស្លាប់ដោយអំពើហឹង្សាក្នុងគ្រួសារ,# of female victims of domestic violence (death) below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.1.b,T_DoVioDeth_CY_L5,# of deaths people due to domestic violence in current year,ស្លាប់ដោយអំពើហឹង្សាក្នុងគ្រួសារ,# total deaths due to DOMESTIC VIOLENCE below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.1.c,T_DoVio_Death_OV18,# of deaths people due to domestic violence in current year,ស្លាប់ដោយអំពើហឹង្សាក្នុងគ្រួសារ,# total victims of domestic violence (death) above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.1.d,Fe_DoVio_Death_OV18,# of deaths people due to domestic violence in current year,ស្លាប់ដោយអំពើហឹង្សាក្នុងគ្រួសារ,# of female victims of domestic violence (death) above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.2,T_VioDeth_CY_L18,# of deaths people due to violence in current year,ស្លាប់ដោយអំពើហឹង្សា,# total violence deaths in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.2.a,Fe_Vio_Death_L18,# of deaths people due to violence in current year,ស្លាប់ដោយអំពើហឹង្សា,# of female victims of violence (death) below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.2.b,TOT_UD5_die,Total,សរុប,# of children who died aged below 5 years (from one month and over),People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.2.c,T_Vio_Death_OV18,# of deaths people due to violence in current year,ស្លាប់ដោយអំពើហឹង្សា,# total victims of violence (death) above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.2.d,Fe_Vio_Death_OV18,# of deaths people due to violence in current year,ស្លាប់ដោយអំពើហឹង្សា,# of female victims of violence (death) above 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.3,T_Traff_Death_L18,# of deaths people due to traffic accidents,ស្លាប់ដោយគ្រោះថ្នាក់ចរាចរ,# total deaths due to TRAFFIC ACCIDENTS  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.3.a,Fe_Traff_Death_L18,# of deaths people due to traffic accidents,ស្លាប់ដោយគ្រោះថ្នាក់ចរាចរ,# of FEMALE deaths due to TRAFFIC ACCIDENTS  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.3.b,T_Traff_Death_L5,# of deaths people due to traffic accidents,ស្លាប់ដោយគ្រោះថ្នាក់ចរាចរ,# total deaths due to TRAFFIC ACCIDENTS  in the current year bellow 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.3.c,T_Traff_Death_OV18,# of deaths people due to traffic accidents,ស្លាប់ដោយគ្រោះថ្នាក់ចរាចរ,# total deaths due to TRAFFIC ACCIDENTS  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.3.d,Fe_Traff_Death_OV18,# of deaths people due to traffic accidents,ស្លាប់ដោយគ្រោះថ្នាក់ចរាចរ,# of FEMALE deaths due to TRAFFIC ACCIDENTS  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.4,T_Flood_Death_L18,# of deaths people due to foods in current year,ស្លាប់ដោយគ្រោះទឹកជំនន់,# total deaths due to FLOODS  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.4.a,Fe_Flood_Death_L18,# of deaths people due to foods in current year,ស្លាប់ដោយគ្រោះទឹកជំនន់,# of FEMALE deaths due to FLOODS  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.4.b,T_Flood_Death_L5,# of deaths people due to foods in current year,ស្លាប់ដោយគ្រោះទឹកជំនន់,# total deaths due to FLOODS  in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.4.c,T_Flood_Death_OV18,# of deaths people due to foods in current year,ស្លាប់ដោយគ្រោះទឹកជំនន់,# total deaths due to FLOODS  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.4.d,Fe_Flood_Death_OV18,# of deaths people due to foods in current year,ស្លាប់ដោយគ្រោះទឹកជំនន់,# of FEMALE deaths due to FLOODS  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.5,T_Storm_Death_L18,# of deaths people due to storms in current year, ស្លាប់ដោយសារខ្យល់ព្យុះ,# total deaths due to STORMS  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.5.a,T_Storm_Death_L5,# of deaths people due to storms in current year, ស្លាប់ដោយសារខ្យល់ព្យុះ,# total deaths due to STORMS  in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.5.b,Fe_Storm_Death_L18,# of deaths people due to storms in current year, ស្លាប់ដោយសារខ្យល់ព្យុះ,# of FEMALE deaths due to STORMS  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.5.c,T_Storm_Death_OV18,# of deaths people due to storms in current year, ស្លាប់ដោយសារខ្យល់ព្យុះ,# total deaths due to STORMS  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.5.d,Fe_Storm_Death_OV18,# of deaths people due to storms in current year, ស្លាប់ដោយសារខ្យល់ព្យុះ,# of FEMALE deaths due to STORMS  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.6,T_Light_Death_L18,# of deaths people due to lightning in current year, ស្លាប់ដោយសាររន្ទះ,# total deaths due to LIGTHNING  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.6.a,Fe_Light_Death_L18,# of deaths people due to lightning in current year, ស្លាប់ដោយសាររន្ទះ,# of FEMALE deaths due to LIGTHNING  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.6.b,T_Light_Death_L5,# of deaths people due to lightning in current year, ស្លាប់ដោយសាររន្ទះ,# total deaths due to LIGTHNING  in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.6.c,T_Light_Death_OV18,# of deaths people due to lightning in current year, ស្លាប់ដោយសាររន្ទះ,# total deaths due to LIGTHNING  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.6.d,Fe_Light_Death_OV18,# of deaths people due to lightning in current year, ស្លាប់ដោយសាររន្ទះ,# of FEMALE deaths due to LIGTHNING  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.7,T_AIDS_Death_L18,# of deaths people due to HIV/AIDs in current year,ស្លាប់ដោយជម្ងឺអេដស៏,# total deaths due to HIV/AIDS in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.7.a,Fe_AIDS_Death_L18,# of deaths people due to HIV/AIDs in current year,ស្លាប់ដោយជម្ងឺអេដស៏,# of FEMALE deaths due to HIV/AIDS in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.7.b,T_AIDS_Death_L5,# of deaths people due to HIV/AIDs in current year,ស្លាប់ដោយជម្ងឺអេដស៏,# total deaths due to HIV/AIDS in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.7.c,T_AIDS_Death_OV18,# of deaths people due to HIV/AIDs in current year,ស្លាប់ដោយជម្ងឺអេដស៏,# total deaths due to HIV/AIDS in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.7.d,Fe_AIDS_Death_OV18,# of deaths people due to HIV/AIDs in current year,ស្លាប់ដោយជម្ងឺអេដស៏,# of FEMALE deaths due to HIV/AIDS in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.8,T_Dengue_Death_L18,# of deaths people due to Dengue Fever in current year,ស្លាប់ដោយជម្ងឺគ្រុនឈាម,# total deaths due to DENGUE FEVER in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.8.a,Fe_Dengue_Death_L18,# of deaths people due to Dengue Fever in current year,ស្លាប់ដោយជម្ងឺគ្រុនឈាម,# of FEMALE deaths due to DENGUE FEVER in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.8.b,T_Dengue_Death_L5,# of deaths people due to Dengue Fever in current year,ស្លាប់ដោយជម្ងឺគ្រុនឈាម,# total deaths due to DENGUE FEVER in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.8.c,T_Dengue_Death_OV18,# of deaths people due to Dengue Fever in current year,ស្លាប់ដោយជម្ងឺគ្រុនឈាម,# total deaths due to DENGUE FEVER in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.8.d,Fe_Dengue_Death_OV18,# of deaths people due to Dengue Fever in current year,ស្លាប់ដោយជម្ងឺគ្រុនឈាម,# of FEMALE deaths due to DENGUE FEVER in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.9,T_TB_Death_L18,# of deaths people due to TB in current year,ស្លាប់ដោយជម្ងឺរបេង,# total deaths due toTB  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.9.a,Fe_TB_Death_L18,# of deaths people due to TB in current year,ស្លាប់ដោយជម្ងឺរបេង,# of FEMALE deaths due toTB  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.9.b,T_TB_Death_L5,# of deaths people due to TB in current year,ស្លាប់ដោយជម្ងឺរបេង,# total deaths due toTB  in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.9.c,T_TB_Death_OV18,# of deaths people due to TB in current year,ស្លាប់ដោយជម្ងឺរបេង,# total deaths due toTB  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.9.d,Fe_TB_Death_OV18,# of deaths people due to TB in current year,ស្លាប់ដោយជម្ងឺរបេង,# of FEMALE deaths due toTB  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.10,T_MAL_Death_L18,# of deaths people due to Malaria in current year,ស្លាប់ដោយជម្ងឺគ្រុនចាញ់,# total deaths due to MALARIA  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.10.a,Fe_MAL_Death_L18,# of deaths people due to Malaria in current year,ស្លាប់ដោយជម្ងឺគ្រុនចាញ់,# of FEMALE deaths due to MALARIA  in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.10.b,T_MAL_Death_L5,# of deaths people due to Malaria in current year,ស្លាប់ដោយជម្ងឺគ្រុនចាញ់,# total deaths due to MALARIA  in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.10.c,T_MAL_Death_OV18,# of deaths people due to Malaria in current year,ស្លាប់ដោយជម្ងឺគ្រុនចាញ់,# total deaths due to MALARIA  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.10.d,Fe_MAL_Death_OV18,# of deaths people due to Malaria in current year,ស្លាប់ដោយជម្ងឺគ្រុនចាញ់,# of FEMALE deaths due to MALARIA  in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.11,T_Oth_Death_L18,# of deaths people due to others cases in current year,ស្លាប់ដោយមូលហេតុផ្សេងៗ,# total deaths due to OTHER CASES in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.11.a,Fe_Oth_Death_L18,# of deaths people due to others cases in current year,ស្លាប់ដោយមូលហេតុផ្សេងៗ,# of FEMALE deaths due to OTHER CASES in the current year below 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.11.b,T_Oth_Death_L5,# of deaths people due to others cases in current year,ស្លាប់ដោយមូលហេតុផ្សេងៗ,# total deaths due to OTHER CASES in the current year below 5 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.11.c,T_Oth_Death_OV18,# of deaths people due to others cases in current year,ស្លាប់ដោយមូលហេតុផ្សេងៗ,# total deaths due to OTHER CASES in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
206.11.d,Fe_Oth_Death_OV18,# of deaths people due to others cases in current year,ស្លាប់ដោយមូលហេតុផ្សេងៗ,# of FEMALE deaths due to OTHER CASES in the current year over 18 years,People,នាក់,Violate and Drug,អំពើរហិង្សានិងគ្រឿងញៀន,
207,Phnong_HH,Phnong,ព្នង,# of Phnong indigenous families,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
207.a,Kouy_HH,Kouy,ក្មួយ,# of Kouy indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
207.b,Stieng_HH,Stieng,ស្ទៀង,# of Stieng indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
207.c,Mil_HH,Mil,មិល,# of Mil indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
207.d,Kroal_HH,Krorn,ក្រោល,# of Kroal indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
208,Thmorn_HH,Thmorn,ថ្មន,# of Thmorn indigenous families,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
208.a,Khaonh_HH,Khon,ខោញ,# of Khaonh indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
208.b,Tompuonn_HH,Tompuonn,ទំពូន,# of Tompuonn indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
208.c,Charay_HH,Charay,ចារាយ,# of Charay indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
208.d,Kroeung_HH,Kreung,គ្រឹង,# of Kroeung indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
209,Kavet_HH,Kavet,កាវ៉ែត,# of Kavet indigenous families,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
209.a,Saouch_HH,Saoch,ស្អូច,# of Saouch indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
209.b,Lun_HH,Lun,លន់,# of Lun indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
209.c,Kachak_HH,Kachak,កាចក់,# of Kachak indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
209.d,Praov_HH,Praov,ព្រៅ,# of Praov indigenous families,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
210,Oth_indig_HH,Others,ជនជាតិដើម ភាគតិចដែលគ្មានឈោ្មះខាង លើ,# of Others indigenous families,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
210.a,T_Phnong_Indig,Phnong,ព្នង,# total people  who are Phnong indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
210.b,T_Fe_Phnong_Indig,Phnong,ព្នង,# total female who are Phnong indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
210.c,T_Phnong_6-11,Phnong,ព្នង,# total boys 6-11 years  who  are Phnong indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
210.d,T_Fe_Phnong_6-11,Phnong,ព្នង,# total girls 6-11 years  who  are Phnong indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
211,T_Kouy_Indig,Kouy,ក្មួយ,# total people who  are Kouy indigenous,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
211.a,T_Fe_Kouy_Indig,Kouy,ក្មួយ,# total FEMALES who  are Kouy indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
211.b,T_Kouy_6-11,Kouy,ក្មួយ,# total boys 6-11 years  who  are Kouy indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
211.c,T_Fe_Kouy_6-11,Kouy,ក្មួយ,# total girls 6-11 years  who  are Kouy indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
211.d,T_Stieng_Indig,Stieng,ស្ទៀង,# total people who  are Stieng indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
212,T_Fe_Stieng_Indig,Stieng,ស្ទៀង,# total FEMALES who  are Stieng indigenous,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
212.a,T_Stieng_6-11,Stieng,ស្ទៀង,# total boys 6-11 years  who  are Stieng indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
212.b,T_Fe_Stieng_6-11,Stieng,ស្ទៀង,# total girls 6-11 years  who  are Stieng indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
212.c,T_Mill_Indig,Mil,មិល,# total people who  are Mil indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
212.d,T_Fe_Mill_Indig,Mil,មិល,# total FEMALES who  are Mil indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
213,T_Mill_6-11,Mil,មិល,# total boys 6-11 years  who  are Mil indigenous,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
213.a,T_Fe_Mill_6-11,Mil,មិល,# total girls 6-11 years  who  are Mil indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
213.b,T_Khraol_Indig,Krorn,ក្រោល,# total people who  are Khraol indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
213.c,T_Fe_Khraol_Indig,Krorn,ក្រោល,# total FEMALES who  are Khraol indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
213.d,T_Khraol_6-11,Krorn,ក្រោល,# total boys 6-11 years  who  are Khraol indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
214,T_Fe_Khraol_6-11,Krorn,ក្រោល,# total girls 6-11 years  who  are Khraol indigenous,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
214.a,T_Thmorn_Indig,Thmorn,ថ្មន,# total people who  are Thmorn indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
214.b,T-Fe_Thmorn_Indig,Thmorn,ថ្មន,# total FEMALES who  are Thmorn indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
214.c,T_Thmorn_6-11,Thmorn,ថ្មន,# total boys 6-11 years  who  are Thmorn indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
214.d,T_Fe_Thmorn_6-11,Thmorn,ថ្មន,# total girls 6-11 years  who  are Thmorn indigenous,People,នាក់,Minorities,ជនជាតិដើមភាគតិច,
215,T_Khaonh_Indig,Khon,ខោញ,# total people who  are  Khaonh indigenous,Families,គ្រូសារ,Minorities,ជនជាតិដើមភាគតិច,
